0,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245
0,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,0.468,15,28.1,0.21,0.5,14.2,72.8,0.226
1,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237
0,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21
0,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158
0,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207
1,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224,0.472,13,29.1,0.197,0.515,13.9,70.5,0.199
0,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245,0.528,12.8,25.1,0.195,0.489,12.9,76,0.168
0,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175
0,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202
0,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185
0,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245
0,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2
0,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,0.477,14,27.5,0.236,0.491,12.2,73,0.187
0,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19
0,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218,0.472,13,29.1,0.197,0.515,13.9,70.5,0.199
1,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229
0,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216
0,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203
0,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185
0,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19,0.468,15,28.1,0.21,0.5,14.2,72.8,0.226
1,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2
0,0.528,12.8,25.1,0.195,0.489,12.9,76,0.168,0.477,14,27.5,0.236,0.491,12.2,73,0.187
1,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209
1,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224
0,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2
0,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245
0,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175
0,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202
0,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158
0,0.472,13,29.1,0.197,0.515,13.9,70.5,0.199,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227
1,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207
0,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245
0,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216
0,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203
0,0.472,13,29.1,0.197,0.515,13.9,70.5,0.199,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185
1,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175,0.468,15,28.1,0.21,0.5,14.2,72.8,0.226
0,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245
0,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2
1,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227,0.477,14,27.5,0.236,0.491,12.2,73,0.187
1,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218
1,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224
0,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19
0,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,0.528,12.8,25.1,0.195,0.489,12.9,76,0.168
0,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26
1,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186
0,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199
0,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,0.472,13,29.1,0.197,0.515,13.9,70.5,0.199
0,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,0.528,12.8,25.1,0.195,0.489,12.9,76,0.168
1,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216
1,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206
0,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158
1,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,0.477,14,27.5,0.236,0.491,12.2,73,0.187
1,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218
0,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207
1,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19
0,0.468,15,28.1,0.21,0.5,14.2,72.8,0.226,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192
0,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2
1,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26
0,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245
1,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229
0,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186
0,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203
1,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224,0.468,15,28.1,0.21,0.5,14.2,72.8,0.226
1,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237
1,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21
0,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222
0,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245
1,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209
0,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192
0,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185,0.528,12.8,25.1,0.195,0.489,12.9,76,0.168
0,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158
0,0.528,12.8,25.1,0.195,0.489,12.9,76,0.168,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207
0,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2
0,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199
1,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19,0.472,13,29.1,0.197,0.515,13.9,70.5,0.199
1,0.477,14,27.5,0.236,0.491,12.2,73,0.187,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229
0,0.468,15,28.1,0.21,0.5,14.2,72.8,0.226,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175
1,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185
1,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209
0,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224
0,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192
0,0.477,14,27.5,0.236,0.491,12.2,73,0.187,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26
1,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206
1,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,0.468,15,28.1,0.21,0.5,14.2,72.8,0.226
0,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237
0,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158
1,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227
0,0.528,12.8,25.1,0.195,0.489,12.9,76,0.168,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217
1,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175,0.477,14,27.5,0.236,0.491,12.2,73,0.187
0,0.472,13,29.1,0.197,0.515,13.9,70.5,0.199,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192
0,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199
0,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245
0,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229
1,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216
0,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175
0,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185
0,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222
0,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245
1,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218
0,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224
1,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199
0,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21,0.528,12.8,25.1,0.195,0.489,12.9,76,0.168
1,0.472,13,29.1,0.197,0.515,13.9,70.5,0.199,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26
1,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245
0,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186
1,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237
0,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227
0,0.468,15,28.1,0.21,0.5,14.2,72.8,0.226,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217
1,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2
1,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216
1,0.468,15,28.1,0.21,0.5,14.2,72.8,0.226,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206
0,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203
0,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185
0,0.472,13,29.1,0.197,0.515,13.9,70.5,0.199,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21
0,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158
1,0.477,14,27.5,0.236,0.491,12.2,73,0.187,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218
0,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192
1,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2
0,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199,0.528,12.8,25.1,0.195,0.489,12.9,76,0.168
1,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26
0,0.477,14,27.5,0.236,0.491,12.2,73,0.187,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186
0,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206
0,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175
0,0.472,13,29.1,0.197,0.515,13.9,70.5,0.199,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203
0,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21
0,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222
0,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245
0,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227
0,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207
0,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245
1,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229
1,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185
1,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,0.468,15,28.1,0.21,0.5,14.2,72.8,0.226
0,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2,0.528,12.8,25.1,0.195,0.489,12.9,76,0.168
0,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186
1,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216
1,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206
0,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245
0,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158
0,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227
0,0.472,13,29.1,0.197,0.515,13.9,70.5,0.199,0.477,14,27.5,0.236,0.491,12.2,73,0.187
1,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218
1,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224
0,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192
1,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229
0,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175
1,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202
0,0.468,15,28.1,0.21,0.5,14.2,72.8,0.226,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21
0,0.528,12.8,25.1,0.195,0.489,12.9,76,0.168,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2
1,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217
0,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19
0,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245
0,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186
0,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216
0,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245
0,0.468,15,28.1,0.21,0.5,14.2,72.8,0.226,0.477,14,27.5,0.236,0.491,12.2,73,0.187
0,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209
1,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218
1,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224
1,0.528,12.8,25.1,0.195,0.489,12.9,76,0.168,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19
1,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192
0,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,0.472,13,29.1,0.197,0.515,13.9,70.5,0.199
0,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229
0,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21
0,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2
1,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245
